Region,3+DTaP¥,4+DTaP‡,3+Polio§,1+MMRll,3+Hib¶,Hib-PS**,Hib-FS††,3+HepB‡‡,Hep B Birth dose§§,1+Varllll,3+PCV¶¶,4+PCV***,1+HepA#,2+HepA†††,Rotavirus‡‡‡,4:3:1§§§,4:3:1:3llllll,(4:3:1:2*)¶¶¶,(4:3:1:3*)****,4:3:1:3:3:1€,4:3:1:-:3:1?,4:3:1:2*:3:1€€,4:3:1:3*:3:1??,4:3:1:3:3:1:4€€€,4:3:1:-:3:1:4???,4:3:1:2*:3:1:4€€€€,4:3:1:3*:3:1:4????
US National,95.5±0.5,84.6±1.0,93.9±0.6,91.6±0.8,94.0±0.6,94.2±0.6,80.4±1.1,91.1±0.7,68.6±1.3,90.8±0.7,93.6±0.6,84.4±1.0,81.2±1.0,52.2±1.4,67.3±1.3,82.6±1.0,81.9±1.0,81.9±1.0,75.4±1.2,77.0±1.1,77.6±1.1,77.0±1.1,71.0±1.2,73.3±1.2,73.6±1.2,73.3±1.2,68.5±1.3
Alabama,97.1±1.8,87.5±4.7,96.2±2.0,94.0±2.9,96.4±2.1,96.4±2.1,79.6±5.6,91.2±3.5,75.3±5.8,94.2±2.8,96.4±2.0,85.2±5.1,84.8±4.3,53.7±6.5,75.5±5.7,85.8±4.8,84.8±4.9,84.8±4.9,75.9±5.8,79.2±5.3,79.5±5.3,79.2±5.3,71.0±6.0,72.9±5.9,73.3±5.9,72.9±5.9,68.8±6.1
Alaska,93.7±3.5,77.4±6.4,93.3±3.5,90.8±3.9,89.7±4.4,92.1±4.0,83.8±5.3,93.3±3.5,63.9±7.1,87.2±4.5,90.9±4.1,78.2±6.0,85.0±4.9,48.9±7.6,55.6±7.5,76.9±6.4,75.5±6.6,75.5±6.6,71.3±6.9,73.2±6.7,74.5±6.6,73.2±6.7,69.0±7.0,67.7±7.1,69.0±7.0,67.7±7.1,64.7±7.3
Arizona,95.9±2.5,86.0±6.0,93.8±2.9,86.7±6.7,93.7±3.6,94.4±3.3,82.4±6.8,87.0±6.0,71.2±8.2,87.9±5.9,93.1±3.6,83.3±6.4,87.5±5.8,51.2±9.1,64.6±8.7,79.9±7.3,78.8±7.5,78.8±7.5,74.6±8.0,68.1±8.7,69.2±8.6,68.1±8.7,64.2±8.9,64.0±8.9,65.1±8.8,64.0±8.9,60.4±9.0
Arkansas,95.5±2.5,84.5±5.5,95.8±2.3,93.7±3.2,92.9±4.0,92.9±4.0,77.0±6.3,90.0±4.3,81.9±6.9,93.0±3.4,91.7±4.8,79.1±6.4,63.0±7.6,33.2±7.2,62.1±7.5,82.6±5.8,82.2±5.8,82.2±5.8,73.4±6.8,79.1±6.1,79.1±6.1,79.1±6.1,70.5±7.0,71.5±7.1,71.5±7.1,71.5±7.1,66.0±7.5
California,96.5±1.7,87.7±3.9,94.1±2.5,91.0±3.7,95.0±2.3,95.0±2.3,81.9±4.5,90.3±3.2,58.4±6.3,91.8±2.8,96.1±1.8,86.1±4.0,88.0±3.6,59.6±6.4,71.1±5.8,86.2±4.0,85.2±4.2,85.2±4.2,76.8±5.1,80.4±4.7,81.4±4.6,80.4±4.7,72.5±5.4,77.4±5.0,78.0±4.9,77.4±5.0,70.1±5.6
Colorado,91.2±5.1,81.0±7.7,89.8±5.2,88.4±5.4,90.9±5.3,91.0±5.3,76.5±8.3,88.0±5.2,57.8±8.4,88.6±5.3,87.3±6.7,78.7±7.7,67.5±8.5,46.8±8.5,67.7±8.1,78.7±7.7,77.7±7.8,77.7±7.8,72.5±8.3,75.8±7.8,75.8±7.8,75.8±7.8,70.8±8.3,70.3±8.5,70.3±8.5,70.3±8.5,65.7±8.7
Connecticut,97.5±1.8,88.8±3.6,96.7±2.4,95.0±2.6,96.3±2.5,96.3±2.5,84.5±4.8,94.1±2.6,71.1±5.6,94.1±3.0,97.0±1.9,91.6±3.2,83.8±4.9,53.9±6.8,69.6±6.0,86.1±4.1,85.8±4.1,85.8±4.1,79.9±5.1,81.2±4.8,81.4±4.8,81.2±4.8,76.2±5.4,79.0±5.0,79.0±5.0,79.0±5.0,74.6±5.5
Delaware,94.0±4.6,83.7±6.0,92.1±4.9,90.6±5.1,93.5±4.8,93.5±4.8,78.6±6.2,83.8±6.3,68.4±6.7,90.5±5.1,91.8±4.9,84.5±6.0,81.6±6.1,54.5±7.3,72.5±6.9,80.2±6.3,80.2±6.3,80.2±6.3,73.5±6.6,72.1±6.9,72.1±6.9,72.1±6.9,66.8±7.0,68.6±7.0,68.6±7.0,68.6±7.0,63.5±7.0
Dist. of Columbia,95.0±2.7,87.4±4.6,93.2±3.4,93.5±3.0,94.5±2.6,94.5±2.6,83.5±5.1,91.6±3.3,74.1±6.6,93.7±2.8,93.1±2.9,83.8±5.1,89.5±4.3,55.8±7.3,62.1±7.0,86.5±4.7,85.3±4.8,85.3±4.8,80.3±5.5,81.4±5.2,82.3±5.1,81.4±5.2,77.3±5.7,76.3±5.8,76.3±5.8,76.3±5.8,73.1±6.1
Florida,97.4±2.0,84.6±5.3,95.1±2.7,90.8±4.1,94.7±2.8,95.2±2.7,80.5±6.0,94.5±2.8,52.7±6.9,90.0±4.3,94.0±3.3,80.9±5.5,78.0±5.5,45.4±6.9,59.5±6.7,82.3±5.5,81.2±5.5,81.6±5.5,73.4±6.6,77.8±5.8,78.5±5.7,78.1±5.8,70.2±6.7,71.4±6.2,71.6±6.2,71.4±6.2,66.7±6.8
Georgia,97.1±1.7,87.5±4.4,96.7±1.8,94.1±2.8,96.7±2.0,96.7±2.0,77.7±6.0,96.2±2.1,82.1±4.9,93.2±3.3,95.6±2.5,85.6±5.1,92.0±3.5,65.3±6.5,66.0±6.6,86.6±4.5,86.6±4.5,86.6±4.5,74.4±6.2,83.9±5.0,83.9±5.0,83.9±5.0,71.8±6.4,79.5±5.6,79.5±5.6,79.5±5.6,69.5±6.5
Hawaii,98.4±1.1,90.6±4.1,94.8±3.9,94.2±3.5,96.5±2.3,96.5±2.3,86.2±4.9,92.0±5.4,72.9±8.0,91.2±5.0,97.7±1.7,89.9±4.3,78.6±6.5,51.9±8.3,58.7±8.3,86.4±5.6,85.9±5.6,85.9±5.6,81.4±6.1,80.7±6.8,81.1±6.8,80.7±6.8,77.0±7.0,78.4±6.9,78.5±6.9,78.4±6.9,74.8±7.1
Idaho,94.7±3.1,79.0±6.6,94.5±3.1,89.5±4.8,94.7±3.1,94.9±3.1,75.0±7.3,86.3±5.4,70.2±7.5,86.0±5.6,93.4±3.3,84.1±5.7,84.2±6.2,45.2±8.6,62.0±8.2,78.2±6.7,78.2±6.7,78.2±6.7,67.9±7.8,68.8±7.6,68.8±7.6,68.8±7.6,59.3±8.3,66.9±7.7,66.9±7.7,66.9±7.7,58.1±8.4
Illinois,95.4±2.6,84.0±4.6,94.1±2.7,90.8±3.3,94.7±2.6,94.7±2.6,79.9±5.1,92.2±3.0,69.4±5.2,91.5±3.1,92.8±3.1,82.7±4.5,71.2±5.6,42.8±5.5,64.1±5.5,80.8±4.8,80.5±4.8,80.5±4.8,72.4±5.5,77.3±4.9,77.6±4.9,77.3±4.9,70.2±5.6,71.8±5.2,71.8±5.2,71.8±5.2,66.3±5.7
IL-City of Chicago,96.7±2.6,87.7±5.1,94.1±3.3,90.6±4.5,94.4±3.4,94.4±3.4,85.7±5.0,91.5±3.7,77.3±6.1,90.7±4.2,96.2±2.7,83.0±5.6,81.7±5.9,50.9±7.7,68.3±7.4,84.5±5.6,83.8±5.7,83.8±5.7,80.8±5.9,78.4±6.2,79.1±6.1,78.4±6.2,75.8±6.3,74.1±6.5,74.1±6.5,74.1±6.5,72.9±6.6
IL-Rest of State,94.9±3.4,82.7±6.0,94.1±3.5,90.8±4.2,94.8±3.4,94.9±3.4,77.9±6.6,92.5±3.8,66.6±6.8,91.8±3.9,91.6±4.0,82.6±5.8,67.5±7.2,40.0±6.9,62.6±7.0,79.5±6.2,79.4±6.2,79.4±6.2,69.4±7.1,76.9±6.3,77.0±6.3,76.9±6.3,68.2±7.2,71.0±6.7,71.1±6.7,71.0±6.7,64.0±7.3
Indiana,95.7±2.8,82.2±5.5,93.3±3.4,90.6±3.9,92.3±4.0,92.3±4.0,77.3±5.9,91.3±3.8,83.4±4.6,90.3±3.8,92.5±3.8,81.4±5.7,79.4±5.0,50.5±6.7,63.9±6.7,80.8±5.6,79.1±5.9,79.1±5.9,74.9±6.1,73.4±6.2,74.9±6.0,73.4±6.2,69.3±6.4,70.1±6.3,70.1±6.3,70.1±6.3,66.4±6.5
Iowa,94.5±3.7,85.7±5.5,93.8±3.9,86.7±5.6,93.9±3.9,93.9±3.9,82.0±6.1,89.4±4.7,69.4±6.6,88.2±5.1,93.8±3.8,87.6±5.1,70.3±6.9,48.8±7.3,69.9±7.0,82.0±6.1,82.0±6.1,82.0±6.1,76.1±6.7,78.9±6.3,78.9±6.3,78.9±6.3,73.2±6.8,77.1±6.4,77.1±6.4,77.1±6.4,71.6±6.9
Kansas,93.5±4.1,87.6±5.1,92.6±4.3,91.0±4.4,92.1±4.4,92.1±4.4,81.4±6.4,93.8±3.4,77.7±7.4,89.6±4.7,93.1±4.1,85.5±5.4,89.4±4.5,60.8±8.2,63.6±8.2,85.0±5.4,84.1±5.6,84.1±5.6,78.3±6.6,81.1±6.0,81.9±5.8,81.1±6.0,75.3±6.9,79.0±6.2,79.7±6.1,79.0±6.2,73.5±7.1
Kentucky,96.3±3.5,87.2±5.6,94.9±3.8,91.4±4.9,94.4±4.4,94.4±4.4,84.5±5.9,95.4±3.7,83.3±6.3,91.6±4.9,93.9±4.5,86.2±5.7,69.1±7.6,48.5±8.6,66.0±7.7,85.3±6.0,85.1±6.0,85.1±6.0,81.8±6.3,82.4±6.4,82.6±6.4,82.4±6.4,79.1±6.7,80.3±6.5,80.6±6.5,80.3±6.5,77.6±6.8
Louisiana,98.7±1.3,84.2±5.1,98.5±1.3,92.6±3.6,96.5±2.5,96.5±2.5,80.1±5.9,97.1±1.7,76.7±6.0,91.7±3.9,98.5±1.2,85.3±5.2,87.9±4.2,55.5±7.0,68.9±6.9,83.6±5.1,81.8±5.4,81.8±5.4,76.2±6.1,79.5±5.6,81.4±5.4,79.5±5.6,74.1±6.2,74.6±6.2,76.5±6.0,74.6±6.2,69.6±6.7
Maine,95.3±3.2,88.9±4.5,93.9±3.5,90.3±4.0,93.0±3.8,93.0±3.8,80.4±5.4,88.4±4.2,68.8±6.2,86.4±4.5,91.4±4.2,85.9±4.9,62.4±6.4,40.5±6.7,59.4±6.7,86.4±4.7,85.1±5.0,85.1±5.0,75.8±5.9,79.1±5.4,79.9±5.3,79.1±5.4,71.5±6.1,76.6±5.6,76.6±5.6,76.6±5.6,69.0±6.2
Maryland,97.4±2.1,89.5±3.8,95.8±2.8,95.2±2.6,96.0±2.4,96.0±2.4,83.9±4.9,90.8±3.5,75.1±5.5,93.9±2.9,93.9±3.2,88.0±4.7,83.3±4.8,55.5±6.1,66.0±6.0,87.7±4.1,86.8±4.7,86.8±4.7,82.0±5.0,81.1±5.1,82.1±4.6,81.1±5.1,76.9±5.3,77.8±5.4,78.0±5.4,77.8±5.4,73.8±5.5
MD-Prince George's County,97.4±2.1,87.5±5.3,97.2±2.1,94.6±3.3,94.4±3.3,94.4±3.3,77.2±6.4,90.9±4.5,81.9±5.6,92.5±4.1,93.6±3.6,86.8±4.9,85.4±5.3,50.0±7.3,68.5±7.0,86.2±5.5,84.3±5.7,84.3±5.7,74.3±6.8,78.9±6.3,80.8±6.1,78.9±6.3,70.0±7.0,75.9±6.4,76.9±6.3,75.9±6.4,67.6±7.1
MD-Rest of Maryland,97.4±2.5,89.9±4.5,95.5±3.3,95.3±3.0,96.3±2.8,96.3±2.8,85.1±5.7,90.8±4.1,73.8±6.4,94.1±3.3,94.0±3.7,88.2±5.5,82.8±5.6,56.6±7.1,65.5±7.0,88.0±4.8,87.2±5.5,87.2±5.5,83.4±5.8,81.6±6.0,82.4±5.4,81.6±6.0,78.2±6.2,78.1±6.3,78.2±6.3,78.1±6.3,75.0±6.4
Massachusetts,98.0±2.0,88.4±6.2,97.2±2.2,93.1±4.8,97.1±2.3,97.1±2.3,81.9±7.9,93.2±3.3,70.0±7.3,92.0±4.2,98.0±2.0,87.8±6.4,76.0±7.0,55.5±7.9,80.0±6.4,85.5±6.7,85.5±6.7,85.5±6.7,78.0±8.1,80.3±7.0,80.3±7.0,80.3±7.0,73.0±8.1,76.9±7.3,76.9±7.3,76.9±7.3,70.7±8.2
Michigan,90.2±5.8,81.7±6.7,89.8±5.8,87.6±6.2,89.1±5.9,89.1±5.9,73.4±7.4,89.0±5.8,79.7±6.7,86.5±6.3,89.3±5.8,80.2±7.1,78.4±6.7,53.5±7.8,63.7±7.6,80.3±6.8,79.6±6.8,79.6±6.8,70.7±7.5,76.4±7.0,77.0±6.9,76.4±7.0,68.0±7.6,71.2±7.4,71.8±7.4,71.2±7.4,66.2±7.6
Minnesota,96.9±3.3,86.7±6.1,96.1±3.4,96.0±3.4,95.4±4.1,95.7±4.1,82.6±6.2,94.1±3.6,56.8±8.0,88.7±5.6,97.6±2.8,88.6±5.3,79.5±5.9,52.6±8.0,72.0±8.0,86.0±6.2,85.4±6.2,85.7±6.2,79.1±6.5,79.0±6.8,79.3±6.8,79.3±6.8,73.4±6.9,74.6±6.9,74.9±6.9,74.9±6.9,72.0±6.9
Mississippi,94.3±4.0,80.8±6.4,91.9±4.8,89.6±4.9,94.1±4.0,94.1±4.0,79.4±6.5,90.5±4.5,76.1±6.8,90.6±4.5,93.2±4.3,83.0±6.0,66.7±7.2,42.6±7.8,69.3±7.8,78.2±6.8,78.1±6.8,78.1±6.8,74.5±7.1,73.8±7.1,73.9±7.1,73.8±7.1,70.2±7.3,71.2±7.3,71.3±7.3,71.2±7.3,67.8±7.5
Missouri,91.3±4.1,80.8±5.3,89.3±4.2,88.2±4.0,90.0±4.3,90.3±4.2,76.2±5.7,87.5±4.5,72.9±5.8,87.1±4.1,88.4±4.5,79.2±5.5,73.2±5.6,46.5±6.2,62.7±6.2,78.2±5.5,77.6±5.5,77.6±5.5,72.7±5.9,72.7±5.7,73.0±5.7,72.7±5.7,68.3±6.0,67.6±6.0,67.9±6.0,67.6±6.0,64.1±6.2
