Region,3+DTaP¥,4+DTaP‡,3+Polio§,1+MMRll,3+Hib¶,Hib-PS**,Hib-FS††,3+HepB‡‡,Hep B Birth dose§§,1+Varllll,3+PCV¶¶,4+PCV***,1+HepA#,2+HepA†††,Rotavirus‡‡‡,4:3:1§§§,4:3:1:3llllll,(4:3:1:2*)¶¶¶,(4:3:1:3*)****,4:3:1:3:3:1€,4:3:1:-:3:1?,4:3:1:2*:3:1€€,4:3:1:3*:3:1??,4:3:1:3:3:1:4€€€,4:3:1:-:3:1:4???,4:3:1:2*:3:1:4€€€€,4:3:1:3*:3:1:4????
Montana,91.0±5.2,76.8±7.9,85.9±6.8,87.8±5.2,86.6±6.6,88.8±5.8,73.8±7.9,90.8±4.4,81.1±5.9,85.6±5.5,88.7±5.7,77.2±7.9,67.1±7.8,43.9±9.1,59.8±8.8,75.8±7.9,74.1±8.2,75.7±7.9,67.4±8.4,71.0±8.3,72.7±8.0,72.6±8.0,64.6±8.5,65.0±8.8,66.8±8.6,66.7±8.6,59.6±8.8
Nebraska,98.7±1.1,92.3±3.9,98.1±1.3,95.3±3.5,94.9±3.6,94.9±3.6,86.0±5.8,91.2±4.5,77.5±6.1,94.1±3.6,97.0±2.6,93.7±4.0,89.3±4.5,69.2±7.3,75.5±7.2,91.6±4.0,89.1±4.9,89.1±4.9,83.9±6.0,82.9±5.6,84.1±5.3,82.9±5.6,77.8±6.4,82.5±5.6,82.6±5.6,82.5±5.6,77.6±6.5
Nevada,94.6±3.9,75.2±8.0,94.8±3.6,90.5±4.6,94.8±3.6,94.8±3.6,77.3±7.7,89.9±5.0,65.2±8.8,88.2±5.3,94.1±3.9,78.9±7.5,86.5±6.5,52.8±8.9,56.6±9.0,72.7±8.1,72.5±8.1,72.5±8.1,70.1±8.3,66.7±8.5,66.9±8.5,66.7±8.5,65.4±8.5,65.8±8.5,66.0±8.5,65.8±8.5,64.7±8.5
New Hampshire,94.6±3.5,84.6±5.8,94.4±3.5,92.0±4.1,94.9±3.4,94.9±3.4,82.9±6.2,90.3±4.3,70.7±6.9,87.0±5.3,93.6±3.8,85.1±5.9,77.4±6.4,54.6±7.7,74.2±6.8,83.8±5.8,83.7±5.8,83.7±5.8,79.5±6.5,75.4±6.7,75.6±6.7,75.4±6.7,72.2±7.1,72.4±7.1,72.6±7.1,72.4±7.1,70.8±7.2
New Jersey,95.9±2.7,86.7±4.1,93.6±3.0,91.3±3.5,95.6±2.8,96.1±2.6,82.6±5.0,92.7±3.3,47.3±6.2,92.2±3.4,93.6±3.3,83.9±5.1,76.9±5.1,42.8±6.1,56.3±6.2,83.8±4.4,83.3±4.4,83.8±4.4,75.4±5.4,79.1±4.9,79.6±4.8,79.6±4.8,71.5±5.6,73.9±5.6,73.9±5.6,73.9±5.6,67.9±5.9
New Mexico,94.7±3.1,86.7±4.7,93.8±3.3,93.1±3.6,94.2±3.2,94.3±3.2,81.7±5.5,91.7±3.5,64.0±7.6,90.3±4.4,92.2±3.7,84.6±5.0,86.2±5.1,50.0±7.7,72.9±6.6,85.5±4.8,85.1±4.9,85.1±4.9,78.6±5.7,80.0±5.5,80.4±5.5,80.0±5.5,74.2±6.4,75.2±6.0,75.6±6.0,75.2±6.0,69.8±6.7
New York,94.3±2.5,82.6±3.9,92.6±2.7,91.0±2.8,92.4±2.8,92.4±2.8,77.8±4.3,89.1±3.7,53.7±5.1,88.0±3.8,91.0±3.1,82.3±3.9,73.0±4.4,41.9±5.1,60.7±5.1,80.3±4.0,79.0±4.1,79.0±4.1,72.9±4.5,70.3±5.1,71.6±5.0,70.3±5.1,64.4±5.2,65.1±5.1,65.1±5.1,65.1±5.1,61.3±5.2
NY-City of New York,94.4±3.4,83.2±5.4,92.6±3.6,91.5±3.6,93.2±3.5,93.2±3.5,78.6±6.1,89.1±5.3,46.3±7.4,90.2±3.9,90.8±4.0,82.9±5.2,73.7±5.9,43.8±7.2,60.5±7.2,81.0±5.6,80.8±5.6,80.8±5.6,74.1±6.3,72.2±6.8,72.4±6.8,72.2±6.8,65.7±7.2,66.4±7.0,66.6±7.0,66.4±7.0,62.5±7.2
NY-Rest of State,94.2±3.7,82.0±5.5,92.6±4.0,90.6±4.3,91.6±4.4,91.6±4.4,77.1±6.1,89.1±5.1,61.0±7.0,85.9±6.3,91.3±4.6,81.8±5.9,72.4±6.5,40.0±7.2,60.9±7.2,79.6±5.8,77.2±6.1,77.2±6.1,71.6±6.4,68.3±7.4,70.8±7.4,68.3±7.4,63.2±7.4,63.7±7.5,63.7±7.5,63.7±7.5,60.2±7.5
North Carolina,94.0±5.0,81.3±7.5,93.5±5.0,92.3±5.1,92.8±5.3,93.0±5.3,73.8±8.1,90.8±5.3,75.0±6.7,89.6±5.6,93.1±5.2,84.5±7.1,69.3±7.8,40.8±7.6,70.5±7.6,79.6±7.5,79.6±7.5,79.6±7.5,70.3±8.1,75.3±7.7,75.3±7.7,75.3±7.7,66.9±8.1,73.3±7.7,73.3±7.7,73.3±7.7,65.6±8.1
North Dakota,96.5±3.2,89.7±4.8,93.5±4.9,95.8±3.0,94.8±3.6,96.0±3.0,86.4±5.6,94.1±4.6,83.4±6.6,90.8±5.2,95.1±3.8,88.1±6.2,88.7±6.1,63.0±9.0,74.9±8.4,86.3±6.0,85.6±6.1,85.6±6.1,81.8±6.7,84.1±6.2,84.8±6.1,84.1±6.2,80.5±6.8,82.8±6.5,83.5±6.4,82.8±6.5,79.1±7.0
Ohio,96.7±2.6,85.2±7.3,94.7±3.6,93.3±4.2,96.6±2.6,96.6±2.6,85.9±6.9,95.8±2.5,81.9±6.2,93.4±3.9,94.5±3.2,83.8±6.8,73.0±7.1,44.7±8.2,64.3±7.9,83.9±7.5,83.9±7.5,83.9±7.5,82.0±7.5,80.6±7.5,80.6±7.5,80.6±7.5,78.8±7.6,76.4±8.3,76.4±8.3,76.4±8.3,74.7±8.3
Oklahoma,95.4±2.6,84.1±5.3,93.8±3.2,94.0±3.3,92.6±3.9,92.6±3.9,77.4±6.4,92.7±3.7,70.9±6.8,90.5±4.3,93.3±3.3,79.8±5.8,89.3±4.7,62.6±7.2,57.6±7.4,83.6±5.4,82.6±5.5,82.6±5.5,72.8±6.7,77.3±6.1,78.3±6.0,77.3±6.1,69.2±6.9,72.0±6.5,72.7±6.4,72.0±6.5,66.0±7.0
Oregon,92.5±4.4,76.6±7.8,90.2±4.6,90.6±4.2,90.2±5.2,91.2±4.9,72.3±7.9,85.3±5.4,66.5±7.5,89.3±4.4,90.2±4.7,79.9±7.3,84.0±6.0,56.6±8.0,62.2±8.0,73.6±7.8,72.4±8.0,72.4±8.0,66.3±8.1,67.0±8.1,67.0±8.1,67.0±8.1,62.2±8.2,65.2±8.1,65.2±8.1,65.2±8.1,61.7±8.2
Pennsylvania,98.0±1.3,85.8±3.8,96.8±1.6,92.8±2.7,96.8±1.6,96.8±1.6,85.1±3.8,91.5±3.1,72.8±5.0,93.0±2.6,95.0±2.3,88.1±3.6,85.5±3.7,59.2±5.3,76.6±4.5,82.8±4.0,81.7±4.2,81.7±4.2,76.6±4.6,75.4±4.7,76.2±4.7,75.4±4.7,71.5±4.9,72.7±4.9,73.0±4.9,72.7±4.9,69.7±5.0
PA-Philadelphia County,96.6±2.4,85.4±5.6,94.7±3.8,93.1±4.0,95.6±2.8,95.6±2.8,78.3±6.6,86.9±5.2,75.6±6.3,92.3±4.0,92.8±3.9,83.7±5.8,86.2±5.2,61.7±7.1,68.9±7.0,82.6±6.1,81.9±6.2,81.9±6.2,75.0±6.8,75.0±6.7,75.6±6.6,75.0±6.7,70.1±7.0,70.3±7.0,70.3±7.0,70.3±7.0,67.5±7.1
PA-Rest of State,98.2±1.4,85.9±4.5,97.2±1.8,92.8±3.1,97.1±1.8,97.1±1.8,86.4±4.4,92.4±3.6,72.2±5.9,93.1±3.0,95.4±2.6,89.0±4.1,85.4±4.3,58.8±6.2,78.0±5.2,82.8±4.7,81.6±4.8,81.6±4.8,76.9±5.3,75.5±5.5,76.3±5.5,75.5±5.5,71.7±5.7,73.2±5.6,73.5±5.6,73.2±5.6,70.1±5.8
Rhode Island,97.1±2.7,84.5±5.4,97.4±2.2,96.6±2.0,97.3±2.2,97.9±1.7,78.5±6.3,96.1±2.9,73.2±6.1,93.7±2.5,95.5±2.8,91.3±3.5,80.9±5.9,49.3±6.9,75.7±6.3,83.1±5.5,82.6±5.5,82.6±5.5,71.2±6.5,79.5±5.6,80.0±5.6,79.5±5.6,68.5±6.6,76.7±5.8,76.7±5.8,76.7±5.8,67.3±6.6
South Carolina,94.6±3.5,79.5±6.1,94.5±3.5,89.3±4.9,93.2±3.9,93.6±3.8,76.5±6.6,92.8±3.7,69.2±7.0,89.6±4.8,92.6±4.2,80.7±6.3,75.6±6.5,42.6±7.5,55.8±7.6,78.3±6.2,78.2±6.2,78.2±6.2,69.8±7.1,74.1±6.5,74.1±6.5,74.1±6.5,66.5±7.2,69.8±7.0,69.8±7.0,69.8±7.0,65.1±7.3
South Dakota,92.9±5.4,75.8±9.7,92.9±5.4,89.2±6.9,91.1±5.6,91.1±5.6,NA,92.1±5.5,70.9±9.6,84.8±8.1,88.3±6.8,NA,59.7±9.9,29.3±7.9,NA,74.9±9.7,74.1±9.7,74.1±9.7,NA,71.0±9.9,71.3±9.9,71.0±9.9,NA,NA,NA,NA,NA
Tennessee,95.8±2.6,81.9±5.8,93.4±3.4,91.1±3.9,93.1±3.8,93.1±3.8,81.5±5.9,91.5±3.7,61.9±7.1,90.7±4.0,94.8±2.9,86.2±4.8,89.8±3.9,55.7±7.2,71.1±6.6,81.1±5.8,79.9±6.1,79.9±6.1,77.5±6.2,73.9±6.5,75.1±6.3,73.9±6.5,72.0±6.6,72.1±6.6,73.3±6.4,72.1±6.6,70.4±6.7
Texas,94.7±1.7,82.7±3.7,92.9±2.0,94.3±1.7,93.7±1.9,93.7±1.9,84.1±2.9,90.6±2.2,78.6±3.8,94.1±1.6,93.7±2.0,86.9±2.7,91.0±2.9,60.2±4.6,72.3±3.8,81.6±3.7,80.9±3.8,80.9±3.8,78.4±3.8,76.3±3.9,76.9±3.9,76.3±3.9,74.0±4.0,74.6±3.9,74.9±3.9,74.6±3.9,72.7±4.0
TX-Bexar County,90.2±4.7,77.0±6.3,89.4±4.8,91.5±4.1,91.0±4.6,91.0±4.6,78.9±5.9,88.5±4.7,63.1±6.9,94.1±3.4,92.3±3.9,83.6±5.6,87.4±4.8,55.2±7.1,69.1±6.6,76.7±6.3,76.7±6.3,76.7±6.3,74.2±6.4,71.7±6.6,71.7±6.6,71.7±6.6,69.7±6.6,69.4±6.8,69.4±6.8,69.4±6.8,67.4±6.8
TX-City of Houston,95.4±3.2,87.2±4.7,94.0±3.6,95.3±2.9,94.0±3.5,94.0±3.5,83.4±5.6,88.3±4.5,79.6±5.8,95.0±3.0,94.6±3.4,88.0±4.6,93.5±3.5,64.9±7.2,65.6±8.0,85.3±5.0,84.1±5.2,84.1±5.2,78.3±6.1,75.3±6.4,76.5±6.3,75.3±6.4,71.0±6.8,72.9±6.6,73.9±6.5,72.9±6.6,69.4±6.9
TX-Dallas County,91.2±4.9,78.9±6.3,87.5±5.4,90.8±4.3,89.5±5.1,89.9±5.0,78.1±6.3,90.5±4.1,82.9±4.8,88.5±4.8,89.2±5.2,80.1±6.0,87.5±4.9,55.2±7.4,62.7±7.3,77.9±6.3,77.5±6.4,77.5±6.4,73.8±6.6,73.7±6.6,74.1±6.5,73.7±6.6,70.2±6.8,70.9±6.7,71.3±6.7,70.9±6.7,68.1±6.9
TX-El Paso County,93.0±4.3,79.1±6.6,90.7±4.6,92.8±4.1,92.6±4.3,92.6±4.3,78.5±6.5,89.0±4.6,80.5±6.1,90.8±4.6,91.8±4.6,80.7±6.1,87.6±5.4,53.8±7.7,72.8±7.0,77.6±6.7,77.6±6.7,77.6±6.7,74.1±6.8,73.0±7.1,73.0±7.1,73.0±7.1,69.4±7.1,69.0±7.2,69.0±7.2,69.0±7.2,67.7±7.1
TX-Rest of State,95.7±2.3,83.1±5.3,94.0±2.7,95.1±2.3,94.6±2.6,94.6±2.6,86.0±4.0,91.3±3.1,79.3±5.5,95.1±2.2,94.4±2.7,88.4±3.8,91.6±4.2,60.9±6.6,75.4±5.2,82.2±5.4,81.5±5.4,81.5±5.4,79.8±5.5,77.5±5.6,78.2±5.5,77.5±5.6,75.8±5.7,76.3±5.6,76.6±5.6,76.3±5.6,74.9±5.7
Utah,93.9±3.0,82.0±5.6,93.3±3.0,88.8±4.6,92.1±3.8,92.1±3.8,77.1±6.2,88.9±4.5,74.2±6.8,83.6±5.7,91.5±3.6,80.1±5.9,87.8±4.7,55.6±7.3,68.1±6.8,80.2±5.8,78.5±6.1,78.5±6.1,74.6±6.4,71.1±6.8,72.9±6.6,71.1±6.8,68.2±6.9,68.6±6.9,70.3±6.7,68.6±6.9,66.7±6.9
Vermont,97.6±1.7,88.2±4.7,96.0±2.2,95.3±2.3,96.3±2.1,96.3±2.1,82.3±5.4,91.7±3.4,23.1±5.8,85.4±5.0,95.0±2.5,89.3±4.0,70.9±6.2,44.4±7.1,65.7±6.8,86.0±4.9,85.6±4.9,85.6±4.9,77.5±5.9,76.7±5.9,77.1±5.8,76.7±5.9,69.6±6.5,73.4±6.2,73.4±6.2,73.4±6.2,67.5±6.6
Virginia,96.5±3.1,84.4±6.0,94.3±3.9,89.0±5.2,96.2±3.2,96.2±3.2,79.1±6.5,87.8±5.2,64.4±7.9,88.2±5.3,91.8±4.8,83.5±6.0,78.8±6.2,52.3±7.9,75.4±6.5,83.0±6.1,82.9±6.1,82.9±6.1,75.6±6.7,77.0±6.6,77.1±6.6,77.0±6.6,71.1±7.0,72.1±6.9,72.2±6.9,72.1±6.9,68.3±7.1
Washington,91.2±4.8,85.5±5.3,90.0±4.8,89.3±4.4,88.2±5.2,89.3±5.0,77.5±6.1,86.1±5.2,71.7±6.5,87.8±4.7,90.4±4.8,85.7±5.3,82.2±5.3,51.4±7.4,67.7±6.7,82.7±5.6,81.1±5.7,81.1±5.7,73.9±6.3,76.0±6.0,77.5±5.8,76.0±6.0,68.7±6.5,74.4±6.1,75.3±6.0,74.4±6.1,68.1±6.5
West Virginia,92.4±3.4,78.4±5.1,91.2±3.6,85.8±4.3,91.2±3.6,91.2±3.6,71.0±5.6,86.6±4.5,60.7±6.1,86.5±4.3,89.2±3.9,77.5±5.3,84.6±4.5,56.0±6.2,60.2±6.2,75.0±5.4,73.9±5.4,73.9±5.4,66.8±5.8,69.3±5.8,70.4±5.7,69.3±5.8,63.2±6.0,66.6±5.9,67.0±5.9,66.6±5.9,60.9±6.1
Wisconsin,96.9±2.1,88.4±5.4,95.2±2.9,94.9±2.7,94.2±3.3,94.2±3.3,81.9±5.9,90.8±5.1,74.5±6.6,90.2±4.6,95.0±2.8,90.1±4.2,77.1±6.2,48.5±7.7,73.8±7.3,86.4±5.6,85.1±5.8,85.1±5.8,76.1±7.0,81.5±6.3,82.3±6.2,81.5±6.3,72.8±7.3,79.2±6.5,79.2±6.5,79.2±6.5,70.9±7.4
Wyoming,89.6±9.0,75.5±9.5,86.8±9.2,85.6±9.1,86.3±9.3,86.5±9.3,69.6±9.8,82.2±9.3,70.8±7.3,86.8±8.8,88.2±9.0,74.2±9.7,67.3±9.0,45.3±8.9,52.2±9.2,74.4±9.6,72.8±9.6,72.8±9.6,65.8±9.8,70.3±9.5,71.2±9.5,70.3±9.5,63.6±9.7,62.3±9.6,63.2±9.7,62.3±9.6,59.1±9.5
